username,password,age,gender,preferences,watchlist,ratings
michele30,PRe9@JvMf+,21,Female,Action,[],{}
jose26,^(Iu7(VW76,50,Female,"Thriller,Fantasy,Action",[],{}
jcook,&O8Nv4f!R6,46,Female,"Romance,Action",[],{}
hunterjohnson,Lg9#XFp1n),60,Male,"Romance,Fantasy,Action",[],{}
alishasanchez,z7cO7uKh+M,54,Male,"Romance,Thriller,Action,Fantasy",[],{}
garrett21,(U6cHvpY)K,45,Female,"Fantasy,Action,Romance,Thriller,Comedy",[],{}
sandrawalter,!4Uuh1ei_d,36,Male,"Romance,Fantasy,Action,Thriller,Comedy",[],{}
jacksondennis,emi7Ye53^2,53,Female,"Action,Comedy,Thriller,Fantasy",[],{}
ryanbrown,SX1B2ncuu!,38,Female,"Fantasy,Comedy,Thriller,Action,Romance",[],{}
bsims,%9Ji5LoXzw,23,Male,Thriller,[],{}
Vaishnavi Chavan,vaish,21,Female,"['Life,  Drama,  Family ', 'Friendship,  Romance,  Life,  Medical ', 'Comedy,  Romance,  Youth,  Family ', 'Action, Youth, Drama\r']","['Squid Game', 'Her Private Life', 'Sweet Home', 'Search: WWW', 'Dali and the Cocky Prince', 'My Mister', 'Kingdom: Season 2']",{}
Anu,anu,7,Female,"['Friendship,  Romance,  Life,  Medical ']",['Her Private Life'],{}
